,IMDB ID,Title,Director,Actor,Year,Box Office,Rating,IMDB Rating,IMDB Votes,Metascore
0,tt1375666,Inception,Christopher Nolan,Leonardo DiCaprio,2010,"$292,568,851",PG-13,8.8,"1,953,512",74
1,tt1345836,The Dark Knight Rises,Christopher Nolan,Christian Bale,2012,"$448,130,642",PG-13,8.4,"1,454,342",78
2,tt0816692,Interstellar,Christopher Nolan,Ellen Burstyn,2014,"$158,737,441",PG-13,8.6,"1,413,039",74
3,tt1853728,Django Unchained,Quentin Tarantino,Jamie Foxx,2012,"$162,804,648",R,8.4,"1,282,957",81
4,tt0848228,The Avengers,Joss Whedon,Robert Downey Jr.,2012,"$623,279,547",PG-13,8.0,"1,225,316",69
5,tt0993846,The Wolf of Wall Street,Martin Scorsese,Leonardo DiCaprio,2013,"$91,330,760",R,8.2,"1,107,316",75
6,tt1130884,Shutter Island,Martin Scorsese,Leonardo DiCaprio,2010,"$125,001,000",R,8.1,"1,071,216",63
7,tt2015381,Guardians of the Galaxy,James Gunn,Chris Pratt,2014,"$270,592,504",PG-13,8.0,"1,007,917",76
8,tt1431045,Deadpool,Tim Miller,Ryan Reynolds,2016,"$328,674,489",R,8.0,"870,878",65
9,tt1392190,Mad Max: Fury Road,George Miller,Tom Hardy,2015,"$129,483,877",R,8.1,"836,341",90
10,tt2488496,Star Wars: Episode VII - The Force Awakens,J.J. Abrams,Harrison Ford,2015,"$936,658,640",PG-13,7.9,"833,706",80
11,tt1392170,The Hunger Games,Gary Ross,Stanley Tucci,2012,"$407,981,652",PG-13,7.2,"818,687",68
12,tt2267998,Gone Girl,David Fincher,Ben Affleck,2014,N/A,R,8.1,"810,958",79
13,tt7286456,Joker,Todd Phillips,Joaquin Phoenix,2019,N/A,R,8.5,"784,475",59
14,tt4154756,Avengers: Infinity War,Anthony Russo,Robert Downey Jr.,2018,"$664,987,816",PG-13,8.5,"766,327",68
15,tt1454468,Gravity,Alfonso Cuarón,Sandra Bullock,2013,"$274,084,951",PG-13,7.7,"746,227",96
16,tt0903624,The Hobbit: An Unexpected Journey,Peter Jackson,Ian McKellen,2012,"$303,001,229",PG-13,7.8,"739,319",58
17,tt1201607,Harry Potter and the Deathly Hallows: Part 2,David Yates,Ralph Fiennes,2011,"$381,000,185",PG-13,8.1,"730,224",85
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,tt0435761,Toy Story 3,Lee Unkrich,Tom Hanks,2010,"$414,984,497",G,8.3,"729,086",92
20,tt3659388,The Martian,Ridley Scott,Matt Damon,2015,"$202,313,768",PG-13,8.0,"723,614",80
21,tt1675434,The Intouchables,Olivier Nakache,François Cluzet,2011,"$13,179,837",R,8.5,"725,135",57
22,tt0800369,Thor,Kenneth Branagh,Chris Hemsworth,2011,"$181,015,141",PG-13,7.0,"717,145",57
23,tt4154796,Avengers: Endgame,Anthony Russo,Robert Downey Jr.,2019,N/A,PG-13,8.4,"694,527",78
24,tt0458339,Captain America: The First Avenger,Joe Johnston,Chris Evans,2011,N/A,PG-13,6.9,"711,603",66
25,tt2395427,Avengers: Age of Ultron,Joss Whedon,Robert Downey Jr.,2015,"$429,113,729",PG-13,7.3,"711,205",66
26,tt1843866,Captain America: The Winter Soldier,Anthony Russo,Chris Evans,2014,"$228,636,083",PG-13,7.7,"706,555",70
27,tt1228705,Iron Man 2,Jon Favreau,Robert Downey Jr.,2010,"$312,057,433",PG-13,7.0,"693,517",57
28,tt0947798,Black Swan,Darren Aronofsky,Natalie Portman,2010,"$106,952,327",R,8.0,"675,757",79
29,tt2278388,The Grand Budapest Hotel,Wes Anderson,Ralph Fiennes,2014,"$56,939,515",R,8.1,"673,301",88
30,tt2582802,Whiplash,Damien Chazelle,Miles Teller,2014,N/A,R,8.5,"670,676",88
31,tt1663202,The Revenant,Alejandro G. Iñárritu,Leonardo DiCaprio,2015,N/A,R,8.0,"669,193",76
32,tt0770828,Man of Steel,Zack Snyder,Henry Cavill,2013,"$291,021,565",PG-13,7.0,"671,513",55
33,tt2084970,The Imitation Game,Morten Tyldum,Benedict Cumberbatch,2014,N/A,PG-13,8.0,"653,217",73
34,tt1045658,Silver Linings Playbook,David O. Russell,Bradley Cooper,2012,"$132,088,910",R,7.7,"641,736",81
35,tt1877832,X-Men: Days of Future Past,Bryan Singer,Hugh Jackman,2014,"$199,305,306",PG-13,8.0,"643,180",75
36,tt0892769,How to Train Your Dragon,Dean DeBlois,Jay Baruchel,2010,"$216,900,000",PG,8.1,"641,989",75
37,tt3498820,Captain America: Civil War,Anthony Russo,Chris Evans,2016,"$408,080,554",PG-13,7.8,"628,016",75
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,tt1504320,The King's Speech,Tom Hooper,Colin Firth,2010,"$138,300,000",R,8.0,"620,382",88
40,tt1074638,Skyfall,Sam Mendes,Daniel Craig,2012,"$299,300,000",PG-13,7.7,"613,182",81
41,tt3315342,Logan,James Mangold,Hugh Jackman,2017,N/A,R,8.1,"610,395",77
42,tt2024544,12 Years a Slave,Steve McQueen,Chiwetel Ejiofor,2013,"$50,628,650",R,8.1,"613,932",96
43,tt2975590,Batman v Superman: Dawn of Justice,Zack Snyder,Ben Affleck,2016,N/A,PG-13,6.5,"601,361",44
44,tt1285016,The Social Network,David Fincher,Jesse Eisenberg,2010,"$96,400,000",PG-13,7.7,"595,251",95
45,tt1951264,The Hunger Games: Catching Fire,Francis Lawrence,Jennifer Lawrence,2013,"$336,663,349",PG-13,7.5,"594,275",76
46,tt1170358,The Hobbit: The Desolation of Smaug,Peter Jackson,Ian McKellen,2013,"$180,443,783",PG-13,7.8,"584,249",66
47,tt0816711,World War Z,Marc Forster,Brad Pitt,2013,"$202,351,611",PG-13,7.0,"579,584",63
48,tt2096673,Inside Out,Pete Docter,Amy Poehler,2015,"$264,317,903",PG,8.2,"577,209",94
49,tt1825683,Black Panther,Ryan Coogler,Chadwick Boseman,2018,N/A,PG-13,7.3,"579,293",88
50,tt1670345,Now You See Me,Louis Leterrier,Jesse Eisenberg,2013,"$117,698,894",PG-13,7.3,"575,712",50
51,tt1386697,Suicide Squad,David Ayer,Will Smith,2016,"$325,021,779",PG-13,6.0,"574,315",40
52,tt1631867,Edge of Tomorrow,Doug Liman,Tom Cruise,2014,"$77,121,429",PG-13,7.9,"575,314",71
53,tt1981115,Thor: The Dark World,Alan Taylor,Chris Hemsworth,2013,"$206,360,018",PG-13,6.9,"571,192",54
54,tt2802144,Kingsman: The Secret Service,Matthew Vaughn,Adrian Quinton,2014,"$119,469,511",R,7.7,"569,742",60
55,tt1392214,Prisoners,Denis Villeneuve,Hugh Jackman,2013,"$60,962,878",R,8.1,"563,795",70
56,tt1211837,Doctor Strange,Scott Derrickson,Benedict Cumberbatch,2016,N/A,PG-13,7.5,"562,696",72
57,tt0454876,Life of Pi,Ang Lee,Suraj Sharma,2012,"$103,500,000",PG,7.9,"560,570",79
58,tt2543164,Arrival,Denis Villeneuve,Amy Adams,2016,"$100,501,349",PG-13,7.9,"559,093",81
59,tt0369610,Jurassic World,Colin Trevorrow,Chris Pratt,2015,"$528,757,749",PG-13,7.0,"560,612",59
60,tt1024648,Argo,Ben Affleck,Ben Affleck,2012,"$136,019,448",R,7.7,"556,890",86
61,tt2562232,Birdman or (The Unexpected Virtue of Ignorance),Alejandro G. Iñárritu,Michael Keaton,2014,N/A,R,7.7,"552,429",87
62,tt1637725,Ted,Seth MacFarlane,Mark Wahlberg,2012,"$218,100,000",R,6.9,"555,534",62
63,tt1446714,Prometheus,Ridley Scott,Noomi Rapace,2012,"$126,464,904",R,7.0,"554,320",64
64,tt2294629,Frozen,Chris Buck,Kristen Bell,2013,"$400,736,600",PG,7.5,"551,637",75
65,tt3501632,Thor: Ragnarok,Taika Waititi,Chris Hemsworth,2017,N/A,PG-13,7.9,"542,938",74
66,tt0780504,Drive,Nicolas Winding Refn,Ryan Gosling,2011,"$34,300,000",R,7.8,"549,955",78
67,tt0948470,The Amazing Spider-Man,Marc Webb,Andrew Garfield,2012,"$262,030,663",PG-13,6.9,"543,434",66
68,tt0478970,Ant-Man,Peyton Reed,Paul Rudd,2015,"$138,002,223",PG-13,7.3,"540,523",64
69,tt3896198,Guardians of the Galaxy Vol. 2,James Gunn,Chris Pratt,2017,N/A,PG-13,7.6,"537,920",67
70,tt2527336,Star Wars: Episode VIII - The Last Jedi,Rian Johnson,Mark Hamill,2017,"$619,117,636",PG-13,7.0,"532,835",85
71,tt3748528,Rogue One: A Star Wars Story,Gareth Edwards,Felicity Jones,2016,N/A,PG-13,7.8,"526,836",65
72,tt0451279,Wonder Woman,Patty Jenkins,Gal Gadot,2017,N/A,PG-13,7.4,"525,690",76
73,tt1276104,Looper,Rian Johnson,Joseph Gordon-Levitt,2012,"$66,305,045",R,7.4,"519,012",84
74,tt5013056,Dunkirk,Christopher Nolan,Fionn Whitehead,2017,N/A,PG-13,7.9,"511,831",94
75,tt1250777,Kick-Ass,Matthew Vaughn,Aaron Taylor-Johnson,2010,"$20,000,000",R,7.6,"513,537",66
76,tt1219289,Limitless,Neil Burger,Bradley Cooper,2011,"$79,230,923",PG-13,7.4,"511,865",59
77,tt1798709,Her,Spike Jonze,Joaquin Phoenix,2013,"$17,901,029",R,8.0,"510,311",90
78,tt2911666,John Wick,Chad Stahelski,Keanu Reeves,2014,N/A,R,7.4,"505,034",68
79,tt1232829,21 Jump Street,Phil Lord,Jonah Hill,2012,"$134,000,000",R,7.2,"494,267",69
80,tt3460252,The Hateful Eight,Quentin Tarantino,Samuel L. Jackson,2015,"$54,116,191",R,7.8,"484,384",68
81,tt1318514,Rise of the Planet of the Apes,Rupert Wyatt,Andy Serkis,2011,"$175,300,000",PG-13,7.6,"485,801",68
82,tt1323594,Despicable Me,Pierre Coffin,Steve Carell,2010,"$251,476,985",PG,7.6,"484,778",72
83,tt2250912,Spider-Man: Homecoming,Jon Watts,Tom Holland,2017,"$334,166,825",PG-13,7.4,"478,341",73
84,tt3783958,La La Land,Damien Chazelle,Ryan Gosling,2016,N/A,PG-13,8.0,"472,106",94
85,tt1483013,Oblivion,Joseph Kosinski,Tom Cruise,2013,"$89,021,735",PG-13,7.0,"471,533",54
86,tt0945513,Source Code,Duncan Jones,Jake Gyllenhaal,2011,"$54,696,902",PG-13,7.5,"469,329",74
87,tt1298650,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,Johnny Depp,2011,"$241,063,875",PG-13,6.6,"465,510",45
88,tt7131622,Once Upon a Time... in Hollywood,Quentin Tarantino,Leonardo DiCaprio,2019,N/A,R,7.7,"462,778",83
89,tt1343092,The Great Gatsby,Baz Luhrmann,Lisa Adam,2013,"$144,812,796",PG-13,7.2,"456,854",55
90,tt5052448,Get Out,Jordan Peele,Daniel Kaluuya,2017,N/A,R,7.7,"453,492",85
91,tt2310332,The Hobbit: The Battle of the Five Armies,Peter Jackson,Ian McKellen,2014,"$187,747,747",PG-13,7.4,"456,504",59
92,tt1570728,"Crazy, Stupid, Love.",Glenn Ficarra,Steve Carell,2011,"$83,300,000",PG-13,7.4,"454,881",68
93,tt1663662,Pacific Rim,Guillermo del Toro,Charlie Hunnam,2013,"$101,785,482",PG-13,6.9,"454,815",65
94,tt1408101,Star Trek Into Darkness,J.J. Abrams,Chris Pine,2013,"$228,756,232",PG-13,7.7,"454,690",72
95,tt0926084,Harry Potter and the Deathly Hallows: Part 1,David Yates,Bill Nighy,2010,"$294,980,434",PG-13,7.7,"453,697",65
96,tt0470752,Ex Machina,Alex Garland,Domhnall Gleeson,2014,"$19,012,798",R,7.7,"448,743",78
97,tt1411697,The Hangover Part II,Todd Phillips,Bradley Cooper,2011,"$254,400,000",R,6.4,"450,093",44
98,tt5463162,Deadpool 2,David Leitch,Ryan Reynolds,2018,N/A,R,7.7,"444,684",66
99,tt1229238,Mission: Impossible - Ghost Protocol,Brad Bird,Tom Cruise,2011,"$209,364,921",PG-13,7.4,"443,423",73
100,tt1659337,The Perks of Being a Wallflower,Stephen Chbosky,Logan Lerman,2012,"$14,900,000",PG-13,8.0,"441,469",67
101,tt2872718,Nightcrawler,Dan Gilroy,Jake Gyllenhaal,2014,N/A,R,7.9,"436,220",76
102,tt1800241,American Hustle,David O. Russell,Christian Bale,2013,"$99,165,609",R,7.2,"434,133",90
103,tt1396484,It,Andy Muschietti,Jaeden Martell,2017,"$326,898,358",R,7.3,"429,602",69
104,tt1856101,Blade Runner 2049,Denis Villeneuve,Ryan Gosling,2017,N/A,R,8.0,"429,166",81
105,tt2872732,Lucy,Luc Besson,Scarlett Johansson,2014,"$108,521,370",R,6.4,"424,933",61
106,tt1457767,The Conjuring,James Wan,Vera Farmiga,2013,"$137,387,272",R,7.5,"421,587",68
107,tt0790636,Dallas Buyers Club,Jean-Marc Vallée,Matthew McConaughey,2013,"$23,750,994",R,8.0,"421,522",81
108,tt2179136,American Sniper,Clint Eastwood,Bradley Cooper,2014,"$274,377,268",R,7.3,"421,609",72
109,tt1727824,Bohemian Rhapsody,Bryan Singer,Rami Malek,2018,N/A,PG-13,8.0,"419,680",49
110,tt1291584,Warrior,Gavin O'Connor,Joel Edgerton,2011,"$13,600,000",PG-13,8.2,"420,706",71
111,tt1430132,The Wolverine,James Mangold,Hugh Jackman,2013,"$132,550,960",PG-13,6.7,"417,955",61
112,tt1979320,Rush,Ron Howard,Chris Hemsworth,2013,"$22,442,876",R,8.1,"415,287",74
113,tt1840309,Divergent,Neil Burger,Shailene Woodley,2014,"$129,520,735",PG-13,6.7,"413,543",48
114,tt2948356,Zootopia,Byron Howard,Ginnifer Goodwin,2016,"$341,264,012",PG,8.0,"410,437",78
115,tt1499658,Horrible Bosses,Seth Gordon,Jason Bateman,2011,"$116,900,000",R,6.9,"411,777",57
116,tt1454029,The Help,Tate Taylor,Emma Stone,2011,"$169,705,587",PG-13,8.1,"409,765",62
117,tt4154664,Captain Marvel,Anna Boden,Brie Larson,2019,N/A,PG-13,6.9,"406,778",64
118,tt3890160,Baby Driver,Edgar Wright,Ansel Elgort,2017,N/A,R,7.6,"406,935",86
119,tt1535108,Elysium,Neill Blomkamp,Matt Damon,2013,"$90,800,000",R,6.6,"410,080",61
120,tt1515091,Sherlock Holmes: A Game of Shadows,Guy Ritchie,Robert Downey Jr.,2011,"$186,830,669",PG-13,7.5,"408,972",48
121,tt2713180,Fury,David Ayer,Brad Pitt,2014,"$72,609,225",R,7.6,"407,393",64
122,tt2119532,Hacksaw Ridge,Mel Gibson,Andrew Garfield,2016,N/A,R,8.1,"404,082",71
123,tt1535109,Captain Phillips,Paul Greengrass,Tom Hanks,2013,"$107,100,855",PG-13,7.8,"405,034",82
124,tt1568346,The Girl with the Dragon Tattoo,David Fincher,Daniel Craig,2011,"$102,515,793",R,7.8,"405,585",71
125,tt1872181,The Amazing Spider-Man 2,Marc Webb,Andrew Garfield,2014,"$183,277,573",PG-13,6.6,"404,037",53
126,tt6751668,Parasite,Bong Joon Ho,Kang-ho Song,2019,N/A,R,8.6,"400,197",96
127,tt1790864,The Maze Runner,Wes Ball,Dylan O'Brien,2014,"$98,537,272",PG-13,6.8,"402,678",57
128,tt2103281,Dawn of the Planet of the Apes,Matt Reeves,Andy Serkis,2014,"$183,278,877",PG-13,7.6,"401,885",79
129,tt4972582,Split,M. Night Shyamalan,James McAvoy,2016,N/A,PG-13,7.3,"398,321",62
130,tt1951265,The Hunger Games: Mockingjay - Part 1,Francis Lawrence,Jennifer Lawrence,2014,"$295,457,212",PG-13,6.6,"396,208",64
131,tt5027774,"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,Frances McDormand,2017,N/A,R,8.2,"394,263",88
132,tt1895587,Spotlight,Tom McCarthy,Mark Ruffalo,2015,N/A,R,8.1,"393,952",93
133,tt2245084,Big Hero 6,Don Hall,Scott Adsit,2014,N/A,PG,7.8,"393,016",74
134,tt3183660,Fantastic Beasts and Where to Find Them,David Yates,Eddie Redmayne,2016,N/A,PG-13,7.3,"389,633",66
135,tt0398286,Tangled,Nathan Greno,Mandy Moore,2010,"$200,803,309",PG,7.7,"390,220",71
136,tt1723121,We're the Millers,Rawson Marshall Thurber,Jennifer Aniston,2013,"$144,900,000",R,7.0,"389,001",44
137,tt2980516,The Theory of Everything,James Marsh,Eddie Redmayne,2014,"$35,887,263",PG-13,7.7,"383,698",72
138,tt6644200,A Quiet Place,John Krasinski,Emily Blunt,2018,N/A,PG-13,7.5,"379,472",82
139,tt3385516,X-Men: Apocalypse,Bryan Singer,James McAvoy,2016,"$135,729,385",PG-13,6.9,"377,645",52
140,tt1399103,Transformers: Dark of the Moon,Michael Bay,Shia LaBeouf,2011,"$352,358,779",PG-13,6.2,"376,258",42
