,IMDB ID,Title,Director,Actor,Year,Box Office,Rating,IMDB Rating,IMDB Votes,Metascore
141,tt1245492,This Is the End,Evan Goldberg,James Franco,2013,"$96,200,000",R,6.6,"373,189",67
142,tt1605783,Midnight in Paris,Woody Allen,Owen Wilson,2011,"$55,400,000",PG-13,7.7,"371,082",81
143,tt1014759,Alice in Wonderland,Tim Burton,Johnny Depp,2010,"$319,323,000",PG,6.4,"371,772",53
144,tt2379713,Spectre,Sam Mendes,Daniel Craig,2015,"$208,777,731",PG-13,6.8,"369,275",60
145,tt0831387,Godzilla,Gareth Edwards,Aaron Taylor-Johnson,2014,"$172,962,996",PG-13,6.4,"366,220",62
146,tt1772341,Wreck-It Ralph,Rich Moore,John C. Reilly,2012,"$189,412,677",PG,7.7,"365,043",72
147,tt0974015,Justice League,Zack Snyder,Ben Affleck,2017,N/A,PG-13,6.4,"359,478",45
148,tt1259521,The Cabin in the Woods,Drew Goddard,Kristen Connolly,2011,"$42,043,633",R,7.0,"356,988",72
149,tt0446029,Scott Pilgrim vs. the World,Edgar Wright,Michael Cera,2010,"$31,494,270",PG-13,7.5,"358,530",69
150,tt1637688,In Time,Andrew Niccol,Justin Timberlake,2011,"$35,900,000",PG-13,6.7,"357,846",53
151,tt1905041,Fast & Furious 6,Justin Lin,Vin Diesel,2013,"$238,700,000",PG-13,7.1,"358,271",61
152,tt1217209,Brave,Mark Andrews,Kelly Macdonald,2012,"$237,282,182",PG,7.1,"357,239",69
153,tt1690953,Despicable Me 2,Pierre Coffin,Steve Carell,2013,"$368,049,635",PG,7.3,"357,881",62
154,tt3397884,Sicario,Denis Villeneuve,Emily Blunt,2015,N/A,R,7.6,"350,799",82
155,tt2820852,Furious 7,James Wan,Vin Diesel,2015,"$316,986,481",PG-13,7.2,"347,783",67
156,tt5580390,The Shape of Water,Guillermo del Toro,Sally Hawkins,2017,N/A,R,7.3,"345,768",87
157,tt3170832,Room,Lenny Abrahamson,Brie Larson,2015,"$14,677,654",R,8.1,"345,782",86
158,tt1210166,Moneyball,Bennett Miller,Brad Pitt,2011,"$75,605,492",PG-13,7.6,"346,192",87
159,tt1282140,Easy A,Will Gluck,Emma Stone,2010,"$58,401,464",PG-13,7.1,"344,763",72
160,tt1596343,Fast Five,Justin Lin,Vin Diesel,2011,"$209,805,005",PG-13,7.3,"342,463",66
161,tt4425200,John Wick: Chapter 2,Chad Stahelski,Keanu Reeves,2017,N/A,R,7.5,"339,326",75
162,tt1677720,Ready Player One,Steven Spielberg,Tye Sheridan,2018,N/A,PG-13,7.5,"338,171",64
163,tt1596363,The Big Short,Adam McKay,Ryan Gosling,2015,N/A,R,7.8,"337,969",81
164,tt0840361,The Town,Ben Affleck,Ben Affleck,2010,"$92,173,235",R,7.5,"336,646",74
165,tt1542344,127 Hours,Danny Boyle,James Franco,2010,"$18,329,466",R,7.6,"337,566",82
166,tt2380307,Coco,Lee Unkrich,Anthony Gonzalez,2017,"$208,487,719",PG,8.4,"333,411",81
167,tt1371111,Cloud Atlas,Tom Tykwer,Tom Hanks,2012,"$22,100,000",R,7.4,"336,239",55
168,tt1477834,Aquaman,James Wan,Jason Momoa,2018,N/A,PG-13,7.0,"334,310",55
169,tt2294449,22 Jump Street,Phil Lord,Jonah Hill,2014,"$154,295,930",R,7.0,"334,014",71
170,tt1355644,Passengers,Morten Tyldum,Jennifer Lawrence,2016,N/A,PG-13,7.0,"331,774",41
171,tt2582846,The Fault in Our Stars,Josh Boone,Shailene Woodley,2014,N/A,PG-13,7.7,"330,659",69
172,tt1270797,Venom,Ruben Fleischer,Tom Hardy,2018,N/A,PG-13,6.7,"331,555",35
173,tt1587310,Maleficent,Robert Stromberg,Angelina Jolie,2014,"$190,871,149",PG,7.0,"330,733",56
174,tt1650062,Super 8,J.J. Abrams,Joel Courtney,2011,"$126,975,169",PG-13,7.0,"329,334",72
175,tt1632708,Friends with Benefits,Will Gluck,Justin Timberlake,2011,"$55,802,754",R,6.5,"329,574",63
176,tt0964517,The Fighter,David O. Russell,Mark Wahlberg,2010,"$93,571,803",R,7.8,"328,998",79
177,tt2381249,Mission: Impossible - Rogue Nation,Christopher McQuarrie,Tom Cruise,2015,"$154,979,949",PG-13,7.4,"328,058",75
178,tt1065073,Boyhood,Richard Linklater,Ellar Coltrane,2014,"$18,859,617",R,7.9,"326,069",100
179,tt1409024,Men in Black 3,Barry Sonnenfeld,Will Smith,2012,"$179,020,854",PG-13,6.8,"325,268",58
180,tt6966692,Green Book,Peter Farrelly,Viggo Mortensen,2018,N/A,PG-13,8.2,"314,419",69
181,tt2527338,Star Wars: Episode IX - The Rise of Skywalker,J.J. Abrams,Carrie Fisher,2019,N/A,PG-13,6.7,"318,227",53
182,tt0455944,The Equalizer,Antoine Fuqua,Denzel Washington,2014,"$85,212,969",R,7.2,"318,500",57
183,tt1320253,The Expendables,Sylvester Stallone,Sylvester Stallone,2010,"$102,981,571",R,6.5,"317,958",45
184,tt4633694,Spider-Man: Into the Spider-Verse,Bob Persichetti,Shameik Moore,2018,N/A,PG,8.4,"311,747",87
185,tt1490017,The Lego Movie,Christopher Miller,Will Arnett,2014,"$244,870,202",PG,7.7,"315,571",83
186,tt1907668,Flight,Robert Zemeckis,Nadine Velazquez,2012,"$89,400,000",R,7.3,"315,172",76
187,tt1231583,Due Date,Todd Phillips,Robert Downey Jr.,2010,"$100,448,498",R,6.5,"314,859",51
188,tt1453405,Monsters University,Dan Scanlon,Billy Crystal,2013,"$260,300,000",G,7.3,"308,588",65
189,tt1306980,50/50,Jonathan Levine,Joseph Gordon-Levitt,2011,"$35,005,118",R,7.6,"308,231",72
190,tt8579674,1917,Sam Mendes,Dean-Charles Chapman,2019,N/A,R,8.3,"306,090",78
191,tt1517451,A Star Is Born,Bradley Cooper,Lady Gaga,2018,N/A,R,7.7,"307,753",88
192,tt1748122,Moonrise Kingdom,Wes Anderson,Bruce Willis,2012,"$45,507,865",PG-13,7.8,"305,545",84
193,tt1104001,TRON: Legacy,Joseph Kosinski,Jeff Bridges,2010,"$172,051,787",PG,6.8,"306,175",49
194,tt8946378,Knives Out,Rian Johnson,Daniel Craig,2019,N/A,PG-13,7.9,"281,915",82
195,tt2283362,Jumanji: Welcome to the Jungle,Jake Kasdan,Dwayne Johnson,2017,"$393,201,353",PG-13,6.9,"297,049",58
196,tt1403865,True Grit,Ethan Coen,Jeff Bridges,2010,"$171,031,347",PG-13,7.6,"296,875",80
197,tt1707386,Les Misérables,Tom Hooper,Hugh Jackman,2012,"$148,775,460",PG-13,7.6,"298,267",63
198,tt2788710,The Interview,Evan Goldberg,James Franco,2014,"$4,551,688",R,6.5,"297,162",52
199,tt0790724,Jack Reacher,Christopher McQuarrie,Tom Cruise,2012,"$80,033,643",PG-13,7.0,"297,450",50
200,tt0970179,Hugo,Martin Scorsese,Ben Kingsley,2011,"$73,820,094",PG,7.5,"294,917",83
201,tt1646971,How to Train Your Dragon 2,Dean DeBlois,Jay Baruchel,2014,"$147,065,544",PG,7.8,"293,080",76
202,tt2109248,Transformers: Age of Extinction,Michael Bay,Mark Wahlberg,2014,"$206,755,538",PG-13,5.6,"291,884",32
203,tt0433035,Real Steel,Shawn Levy,Hugh Jackman,2011,"$85,463,309",PG-13,7.1,"290,010",56
204,tt2322441,Fifty Shades of Grey,Sam Taylor-Johnson,Dakota Johnson,2015,N/A,R,4.1,"289,209",46
205,tt6320628,Spider-Man: Far from Home,Jon Watts,Tom Holland,2019,N/A,PG-13,7.5,"279,844",69
206,tt1302006,The Irishman,Martin Scorsese,Robert De Niro,2019,N/A,R,7.9,"285,304",94
207,tt0944835,Salt,Phillip Noyce,Angelina Jolie,2010,"$118,311,368",PG-13,6.4,"287,589",65
208,tt5095030,Ant-Man and the Wasp,Peyton Reed,Paul Rudd,2018,N/A,PG-13,7.1,"286,033",70
209,tt1764651,The Expendables 2,Simon West,Sylvester Stallone,2012,"$85,017,401",R,6.6,"285,396",51
210,tt1706620,Snowpiercer,Bong Joon Ho,Chris Evans,2013,"$2,786,828",R,7.1,"279,565",84
211,tt0359950,The Secret Life of Walter Mitty,Ben Stiller,Ben Stiller,2013,"$33,223,430",PG,7.3,"284,080",54
212,tt1037705,The Book of Eli,Albert Hughes,Denzel Washington,2010,"$94,800,000",R,6.9,"283,985",53
213,tt1951261,The Hangover Part III,Todd Phillips,Bradley Cooper,2013,"$112,200,000",R,5.8,"283,880",30
214,tt2194499,About Time,Richard Curtis,Domhnall Gleeson,2013,"$18,472,384",R,7.8,"281,984",55
215,tt1397280,Taken 2,Olivier Megaton,Liam Neeson,2012,"$139,852,115",PG-13,6.3,"282,456",45
216,tt1245526,RED,Robert Schwentke,Bruce Willis,2010,"$88,900,000",PG-13,7.0,"280,530",60
217,tt1179933,10 Cloverfield Lane,Dan Trachtenberg,John Goodman,2016,"$59,481,553",PG-13,7.2,"277,223",76
218,tt1194173,The Bourne Legacy,Tony Gilroy,Jeremy Renner,2012,"$113,165,635",PG-13,6.7,"277,242",61
219,tt2004420,Neighbors,Nicholas Stoller,Seth Rogen,2014,"$134,413,041",R,6.3,"276,477",68
220,tt3682448,Bridge of Spies,Steven Spielberg,Mark Rylance,2015,N/A,PG-13,7.6,"276,130",81
221,tt1253863,300: Rise of an Empire,Noam Murro,Sullivan Stapleton,2014,"$91,024,535",R,6.2,"273,300",48
222,tt1951266,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,Jennifer Lawrence,2015,N/A,PG-13,6.5,"270,192",65
223,tt4912910,Mission: Impossible - Fallout,Christopher McQuarrie,Tom Cruise,2018,N/A,PG-13,7.7,"268,724",86
224,tt3778644,Solo: A Star Wars Story,Ron Howard,Alden Ehrenreich,2018,N/A,PG-13,6.9,"269,675",62
225,tt1591095,Insidious,James Wan,Patrick Wilson,2010,"$53,700,000",PG-13,6.8,"267,514",52
226,tt1981677,Pitch Perfect,Jason Moore,Anna Kendrick,2012,"$61,100,000",PG-13,7.2,"267,445",66
227,tt1735898,Snow White and the Huntsman,Rupert Sanders,Kristen Stewart,2012,"$155,081,785",PG-13,6.1,"266,071",57
228,tt0473075,Prince of Persia: The Sands of Time,Mike Newell,Jake Gyllenhaal,2010,"$90,755,643",PG-13,6.6,"263,143",50
229,tt1598778,Contagion,Steven Soderbergh,Gwyneth Paltrow,2011,"$75,638,743",PG-13,6.7,"262,077",70
230,tt0800320,Clash of the Titans,Louis Leterrier,Sam Worthington,2010,"$163,100,000",PG-13,5.8,"264,525",39
231,tt1645170,The Dictator,Larry Charles,Sacha Baron Cohen,2012,"$57,700,000",R,6.4,"262,728",58
232,tt2106476,The Hunt,Thomas Vinterberg,Mads Mikkelsen,2012,"$610,968",R,8.3,"261,321",77
233,tt2798920,Annihilation,Alex Garland,Natalie Portman,2018,N/A,R,6.9,"260,188",79
234,tt3799694,The Nice Guys,Shane Black,Russell Crowe,2016,"$32,261,515",R,7.4,"259,792",70
235,tt1790885,Zero Dark Thirty,Kathryn Bigelow,Jason Clarke,2012,"$95,720,716",R,7.4,"261,273",95
236,tt1133985,Green Lantern,Martin Campbell,Ryan Reynolds,2011,"$116,600,000",PG-13,5.5,"259,826",39
237,tt1478338,Bridesmaids,Paul Feig,Kristen Wiig,2011,"$166,500,000",R,6.8,"259,253",75
238,tt0101414,Beauty and the Beast,Gary Trousdale,Robby Benson,1991,"$47,611,331",G,8.0,"404,632",95
239,tt1091191,Lone Survivor,Peter Berg,Mark Wahlberg,2013,"$97,665,254",R,7.5,"258,109",60
240,tt2737304,Bird Box,Susanne Bier,Sandra Bullock,2018,N/A,R,6.6,"254,088",51
241,tt3731562,Kong: Skull Island,Jordan Vogt-Roberts,Tom Hiddleston,2017,N/A,PG-13,6.6,"256,021",62
242,tt1638355,The Man from U.N.C.L.E.,Guy Ritchie,Henry Cavill,2015,"$38,140,180",PG-13,7.3,"254,692",56
243,tt4649466,Kingsman: The Golden Circle,Matthew Vaughn,Taron Egerton,2017,"$99,733,121",R,6.7,"255,646",44
244,tt4975722,Moonlight,Barry Jenkins,Mahershala Ali,2016,"$27,850,910",R,7.4,"253,485",99
245,tt3521164,Moana,Ron Clements,Auli'i Cravalho,2016,N/A,PG,7.6,"250,176",81
246,tt3040964,The Jungle Book,Jon Favreau,Neel Sethi,2016,"$363,995,937",PG,7.4,"251,003",77
247,tt1340138,Terminator Genisys,Alan Taylor,Arnold Schwarzenegger,2015,"$75,614,989",PG-13,6.4,"250,391",38
248,tt2302755,Olympus Has Fallen,Antoine Fuqua,Gerard Butler,2013,"$98,600,000",R,6.5,"248,742",41
249,tt0401729,John Carter,Andrew Stanton,Taylor Kitsch,2012,"$73,058,679",PG-13,6.6,"248,903",51
250,tt1213663,The World's End,Edgar Wright,Thomas Law,2013,"$33,408,732",R,7.0,"249,684",81
251,tt2140479,The Accountant,Gavin O'Connor,Ben Affleck,2016,N/A,R,7.3,"248,304",51
252,tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,Joachim Rønning,Johnny Depp,2017,"$172,537,139",PG-13,6.6,"248,795",39
253,tt1650554,Kick-Ass 2,Jeff Wadlow,Aaron Taylor-Johnson,2013,"$28,800,000",R,6.5,"247,463",41
254,tt4881806,Jurassic World: Fallen Kingdom,J.A. Bayona,Chris Pratt,2018,N/A,PG-13,6.2,"245,420",51
255,tt0955308,Robin Hood,Ridley Scott,Russell Crowe,2010,"$105,219,735",PG-13,6.6,"246,511",53
256,tt6146586,John Wick: Chapter 3 - Parabellum,Chad Stahelski,Keanu Reeves,2019,N/A,R,7.5,"244,184",73
257,tt2024469,Non-Stop,Jaume Collet-Serra,Liam Neeson,2014,"$80,432,029",PG-13,6.9,"243,834",56
258,tt2316204,Alien: Covenant,Ridley Scott,Michael Fassbender,2017,"$74,255,908",R,6.4,"242,805",65
259,tt1343727,Dredd,Pete Travis,Karl Urban,2012,"$13,401,683",R,7.1,"242,934",60
260,tt1302011,Kung Fu Panda 2,Jennifer Yuh Nelson,Jack Black,2011,"$165,230,261",PG,7.2,"243,145",67
261,tt1401152,Unknown,Jaume Collet-Serra,Liam Neeson,2011,"$63,677,735",PG-13,6.8,"241,844",56
262,tt0429493,The A-Team,Joe Carnahan,Liam Neeson,2010,"$77,213,489",PG-13,6.7,"241,116",47
263,tt2397535,Predestination,Michael Spierig,Ethan Hawke,2014,"$201,560",R,7.5,"238,117",69
264,tt1077368,Dark Shadows,Tim Burton,Johnny Depp,2012,"$79,711,678",PG-13,6.2,"238,930",55
265,tt3076658,Creed,Ryan Coogler,Michael B. Jordan,2015,"$81,157,671",PG-13,7.6,"237,092",82
266,tt1817273,The Place Beyond the Pines,Derek Cianfrance,Ryan Gosling,2012,"$21,300,000",R,7.3,"236,294",68
267,tt0443272,Lincoln,Steven Spielberg,Daniel Day-Lewis,2012,"$129,477,447",PG-13,7.3,"236,818",86
268,tt1959490,Noah,Darren Aronofsky,Russell Crowe,2014,"$101,160,529",PG-13,5.8,"237,051",68
269,tt1385826,The Adjustment Bureau,George Nolfi,Matt Damon,2011,"$62,453,315",PG-13,7.0,"234,932",60
270,tt0803096,Warcraft,Duncan Jones,Travis Fimmel,2016,N/A,PG-13,6.8,"235,008",32
271,tt1601913,The Grey,Joe Carnahan,Liam Neeson,2011,"$51,533,608",R,6.8,"235,006",64
272,tt3110958,Now You See Me 2,Jon M. Chu,Jesse Eisenberg,2016,N/A,PG-13,6.5,"232,515",46
273,tt1706593,Chronicle,Josh Trank,Dane DeHaan,2012,"$60,800,000",PG-13,7.0,"234,914",69
274,tt0100802,Total Recall,Paul Verhoeven,Arnold Schwarzenegger,1990,"$119,000,000",R,7.5,"288,384",57
275,tt1386588,The Other Guys,Adam McKay,Will Ferrell,2010,"$119,219,978",PG-13,6.6,"232,891",64
276,tt1931533,Seven Psychopaths,Martin McDonagh,Michael Pitt,2012,"$15,000,000",R,7.2,"232,749",66
277,tt4034228,Manchester by the Sea,Kenneth Lonergan,Casey Affleck,2016,N/A,R,7.8,"231,863",96
278,tt3606756,Incredibles 2,Brad Bird,Craig T. Nelson,2018,N/A,PG,7.6,"231,383",80
279,tt1440129,Battleship,Peter Berg,Taylor Kitsch,2012,"$65,173,160",PG-13,5.8,"230,992",41
280,tt0448115,Shazam!,David F. Sandberg,Zachary Levi,2019,N/A,PG-13,7.1,"228,554",71
281,tt2277860,Finding Dory,Andrew Stanton,Ellen DeGeneres,2016,N/A,PG,7.3,"227,414",77
282,tt1092026,Paul,Greg Mottola,Mia Stallard,2011,"$37,371,385",R,7.0,"228,547",57
283,tt1033575,The Descendants,Alexander Payne,George Clooney,2011,"$78,500,000",R,7.3,"227,886",84
284,tt1192628,Rango,Gore Verbinski,Johnny Depp,2011,"$123,188,232",PG,7.2,"226,708",75
285,tt1655442,The Artist,Michel Hazanavicius,Jean Dujardin,2011,"$44,667,095",PG-13,7.9,"224,074",89
